token,token_en,neg_type,lemma
descrer,disbelieve,morph,descrer
descrescente,descending,morph,descrescente
descrescimento,degrowth,morph,descrescimento
descriminalizadora,decriminalizing,morph,descriminalizadorar
descriminalizante,decriminalizing,morph,descriminalizante
descriminalizar,decriminalize,morph,descriminalizar
descriminalização,decriminalization,morph,descriminalização
descriminar,discriminate,morph,descriminar
descrédito,discredit,morph,descrédito
descrédulo,disbelief,morph,descrédulo
descuidadamente,carelessly,morph,descuidadamente
descuidado,careless,morph,descuidar
descuidadosamente,carelessly,morph,descuidadosamente
descuidar,neglect,morph,descuidar
descuidoso,careless,morph,descuidoso
desculpabilizador,exculpatory,morph,desculpabilizador
desculpabilização,apology,morph,desculpabilização
desculpar,forgive,morph,desculpar
desculturalização,deculturalization,morph,desculturalização
descumpridor,violator,morph,descumpridor
descumprimento,non-compliance,morph,descumprimento
descumprir,fail to comply,morph,descumprir
desdentado,toothless,morph,desdentar
desditoso,unhappy,morph,desditoso
desdramatização,dedramatization,morph,desdramatização
deseconomia,diseconomy,morph,deseconomia
deseducativo,miseducational,morph,deseducativo
deseducação,miseducation,morph,deseducação
deselegancia,inelegance,morph,deselegancer
deselegante,inelegant,morph,deselegante
deselegantemente,inelegantly,morph,deselegantemente
deselegância,inelegance,morph,deselegância
deselitização,delitization,morph,deselitização
desembaçado,defogged,morph,desembaçar
desemparelhado,unpaired,morph,desemparelhar
desempoderamento,disempowerment,morph,desempoderamento
desempregabilidade,unemployability,morph,desempregabilidade
desempregado,unemployed,morph,desempregado
desempregar,unemployed,morph,desempregar
desemprego,unemployment,morph,desemprego
desemprêgo,unemployment,morph,desemprêgo
desencanado,disenchanted,morph,desencanar
desencanar,disengage,morph,desencanar
desencantamento,disenchantment,morph,desencantamento
desencanto,disenchantment,morph,desencanto
desencarnante,disembodied,morph,desencarnante
desencarnar,disincarnate,morph,desencarnar
desencarnatório,disembodied,morph,desencarnatório
desencontrado,mismatched,morph,desencontrar
desencontrar,mismatch,morph,desencontrar
desencontro,mismatch,morph,desencontro
desencorajador,discouraging,morph,desencorajador
desencorajamento,discouragement,morph,desencorajamento
desencorajante,discouraging,morph,desencorajante
desencorajar,discourage,morph,desencorajar
desendividamento,debt relief,morph,desendividamento
desenfado,dissatisfied,morph,desenfar
desengajado,disengaged,morph,desengajar
desengajamento,disengagement,morph,desengajamento
desenganado,disillusioned,morph,desenganar
desengraçado,funny,morph,desengraçar
desenquadramento,non-compliance,morph,desenquadramento
desentendido,misunderstanding,morph,desentender
desentendimento,disagreement,morph,desentendimento
desentrosado,disjointed,morph,desentrosar
desentrosamento,disconnection,morph,desentrosamento
desenvergonhadamente,shamelessly,morph,desenvergonhadamente
desenvergonhado,shameless,morph,desenvergonhar
desequilbrio,imbalance,morph,desequilbrio
desequilibradamente,unbalanced,morph,desequilibradamente
desequilibrado,unbalanced,morph,desequilibrar
desequilibrante,unbalancing,morph,desequilibrante
desequilibrar,unbalance,morph,desequilibrar
desequilibração,imbalance,morph,desequilibração
desequilãbrio,imbalance,morph,desequilãbrio
desequilíbrio,imbalance,morph,desequilíbrio
desequilíbro,imbalance,morph,desequilíbro
desequipado,unequipped,morph,desequipar
desequiparação,mismatch,morph,desequiparaçãor
desequílibrio,imbalance,morph,desequílibrio
desescolarização,unschooling,morph,desescolarização
desesperança,hopelessness,morph,desesperança
desesperançar,despair,morph,desesperançar
desesperançoso,hopeless,morph,desesperançoso
desesperar,despair,morph,desesperar
desestabilizador,destabilizing,morph,desestabilizador
desestabilização,destabilization,morph,desestabilização
desestatizante,privatization,morph,desestatizante
desestatização,privatization,morph,desestatização
desestetização,de-aestheticization,morph,desestetização
desestigmatização,destigmatization,morph,desestigmatização
desestima,disesteem,morph,desestimar
desestimar,devalue,morph,desestimar
desestimação,devaluation,morph,desestimação
desestimulador,discouraging,morph,desestimulador
desestimuladora,discouraging,morph,desestimuladora
desestimulante,discouraging,morph,desestimulante
desestimular,discourage,morph,desestimular
desestimulação,discouragement,morph,desestimulação
desestímulo,discouragement,morph,desestímulo
desexcitação,de-excitation,morph,desexcitação
desfardado,undressed,morph,desfardar
desfastio,waste,morph,desfastio
desfavor,disfavor,morph,desfavor
desfavorecer,disfavor,morph,desfavorecer
desfavorecimento,disadvantage,morph,desfavorecimento
desfavorável,unfavorable,morph,desfavorável
desfeminização,defeminization,morph,desfeminização
desferrado,screwed,morph,desferrar
desfiliação,disaffiliation,morph,desfiliação
desfinanciamento,definancing,morph,desfinanciamento
desflorestamento,deforestation,morph,desflorestamentar
desfocagem,blur,morph,desfocagemr
desfocalização,defocus,morph,desfocalização
desformalização,deformalization,morph,desformalização
desfuncionamento,malfunction,morph,desfuncionamento
desgostar,dislike,morph,desgostar
desgosto,heartbreak,morph,desgostar
desgovernado,ungoverned,morph,desgovernar
desgovernança,misgovernance,morph,desgovernança
desgoverno,misrule,morph,desgoverno
desgracioso,ungraceful,morph,desgracioso
desgravar,unengrave,morph,desgravar
desgraça,disgrace,morph,desgraçar
desgôsto,heartbreak,morph,desgôsto
deshonra,dishonor,morph,deshonra
deshonrado,dishonored,morph,deshonrar
deshora,despair,morph,deshor
desidealização,deidealization,morph,desidealização
desidentificar,disidentify,morph,desidentificar
desidentificação,de-identification,morph,desidentificação
desideologização,de-ideologization,morph,desideologização
desigrejado,dechurched,morph,desigrejar
desigual,uneven,morph,desigual
desigualar,unequal,morph,desigualar
desigualação,inequality,morph,desigualação
desigualdade,inequality,morph,desigualdade
desigualitário,inegalitarian,morph,desigualitário
desigualmente,unevenly,morph,desigualmente
desilusão,disillusionment,morph,desilusão
desimportância,importance,morph,desimportâncer
desincentivar,discourage,morph,desincentivar
desincentivo,disincentive,morph,desincentivo
desindexação,deindexation,morph,desindexação
desindividualização,deindividuation,morph,desindividualização
desinflacionário,disinflationary,morph,desinflacionário
desinfluente,disinfluential,morph,desinfluente
desinformado,uninformed,morph,desinformar
desinibição,disinhibition,morph,desinibição
desinquieto,restless,morph,desinquieto
desinserção,disinsertion,morph,desinserção
desinspiração,lack of inspiration,morph,desinspiração
desinstitucionalização,deinstitutionalization,morph,desinstitucionalização
desinstruído,uneducated,morph,desinstruir
desintegrador,disintegrator,morph,desintegrador
desintegrar,disintegrate,morph,desintegrar
desintegrativo,disintegrative,morph,desintegrativo
desintegração,disintegration,morph,desintegração
desinteligência,disintelligence,morph,desinteligência
desinteressadamente,disinterestedly,morph,desinteressadamente
desinteressado,disinterested,morph,desinteressar
desinteressante,uninteresting,morph,desinteressante
desinteressar,disinterest,morph,desinteressar
desinteresse,disinterest,morph,desinterer
desinteresseiro,selfless,morph,desinteresseiro
desintermediação,disintermediation,morph,desintermediação
desinterêsse,disinterest,morph,desinterêr
desionização,deionization,morph,desionização
desjudicialização,dejudicialization,morph,desjudicialização
desleal,unfair,morph,desleal
deslealdade,disloyalty,morph,deslealdade
deslealmente,unfairly,morph,deslealmente
deslegitimar,delegitimize,morph,deslegitimar
deslegitimação,delegitimization,morph,deslegitimação
deslegitimização,delegitimization,morph,deslegitimização
deslembrança,disremembering,morph,deslembrança
deslembrar,forget,morph,deslembrar
desletrado,clumsy,morph,desletrar
desligação,shutdown,morph,desligação
desmagnetização,degaussing,morph,desmagnetização
desmassificação,demassification,morph,desmassificação
desmedicalização,demedicalization,morph,desmedicalização
desmemória,lack of memory,morph,desmemório
desmercadorização,decommodification,morph,desmercadorização
desmercantilização,decommodification,morph,desmercantilização
desmerecedor,unworthy,morph,desmerecedor
desmerecidamente,undeservedly,morph,desmerecidamente
desmerecimento,unworthiness,morph,desmerecimento
desmesura,excessiveness,morph,desmesurar
desmesurado,disproportionate,morph,desmesurar
desmineralização,demineralization,morph,desmineralização
desmistificar,demystify,morph,desmistificar
desmoderado,inmoderate,morph,desmoderar
desmonopolização,demonopolization,morph,desmonopolização
desmotivacional,demotivational,morph,desmotivacional
desmotivadamente,unmotivated,morph,desmotivadamente
desmotivante,demotivating,morph,desmotivante
desmotivação,demotivation,morph,desmotivação
desmérito,discredit,morph,desmérito
desnazificação,denazification,morph,desnazificação
desnecessaria,unnecessary,morph,desnecessario
desnecessariamente,unnecessarily,morph,desnecessariamente
desnecessidade,unnecessary,morph,desnecessidade
desnecessário,unnecessary,morph,desnecessário
desnervação,denervation,morph,desnervação
desnivelamento,unevenness,morph,desnivelamentar
desnorteamento,bewilderment,morph,desnorteamento
desnuclearizado,denuclearized,morph,desnuclearizar
desnuclearização,denuclearization,morph,desnuclearização
desnutricão,malnutrition,morph,desnutricão
desnutrido,malnourished,morph,desnutrir
desnutrir,malnourish,morph,desnutrir
desnutrição,malnutrition,morph,desnutrição
desobedecer,disobey,morph,desobedecer
desobediente,disobedient,morph,desobediente
desobediãªncia,disobedience,morph,desobediãªncia
desobediência,disobedience,morph,desobediência
desobrigar,release,morph,desobrigar
desobrigatoriedade,exemption,morph,desobrigatoriedade
desobrigação,release,morph,desobrigação
desocupado,unoccupied,morph,desocupar
desocupação,unemployment,morph,desocupação
desoneração,exemption,morph,desoneração
desonesto,dishonest,morph,desoner
desopressão,depression,morph,desopressãor
desordeiro,rowdy,morph,desordeiro
desordem,disorder,morph,desorder
desordenadamente,disorderly,morph,desordenadamente
desordenado,disordered,morph,desordenar
desordenamento,disorder,morph,desordenamento
desordenar,disorder,morph,desordenar
desordenação,disorder,morph,desordenação
desorganizadamente,disorganized,morph,desorganizadamente
desorganização,disorganization,morph,desorganização
desorientar,disorient,morph,desorientar
desorientação,disorientation,morph,desorientação
desoxi-hemoglobina,deoxyhemoglobin,morph,desoxi-hemoglobina
desoxidado,deoxidized,morph,desoxidar
desoxigenado,deoxygenated,morph,desoxigenar
despadronização,destandardization,morph,despadronização
desparasitar,deworm,morph,desparasitar
desparelho,device,morph,desparelho
despartidarização,departisanship,morph,despartidarização
despatologização,depathologization,morph,despatologização
despenalizante,decriminalizing,morph,despenalizante
despenalizar,decriminalize,morph,despenalizar
despenalização,decriminalization,morph,despenalização
despenteado,disheveled,morph,despentear
desperceber,ignore,morph,desperceber
despersonalização,depersonalization,morph,despersonalização
despersonificação,depersonification,morph,despersonificação
despertencimento,unbelonging,morph,despertencimento
despetização,depetization,morph,despetização
despigmentado,depigmented,morph,despigmentar
despigmentação,depigmentation,morph,despigmentação
desplugado,unplugged,morph,desplugar
despolarizar,depolarize,morph,despolarizar
despolido,polished,morph,despoler
despolitizar,depoliticize,morph,despolitizar
despolitização,depoliticization,morph,despolitização
despoluição,depollution,morph,despoluição
despopulação,depopulation,morph,despopulação
despossessão,dispossession,morph,despossessão
despossuir,dispossess,morph,despossuir
despotencializar,depotentiate,morph,despotencializar
despovoado,depopulated,morph,despovoar
despovoamento,depopulation,morph,despovoamento
desprazer,displeasure,morph,desprazer
desprazeroso,unpleasant,morph,desprazeroso
despreciar,despise,morph,despreciar
despreconceituoso,unprejudiced,morph,despreconceituoso
despreocupadamente,carefree,morph,despreocupadamente
despreocupado,carefree,morph,despreocupar
despreocupação,carefree,morph,despreocupação
despreparado,unprepared,morph,despreparar
despreparação,unpreparedness,morph,despreparação
despreparo,unpreparedness,morph,despreparo
desprestigioso,disreputable,morph,desprestigioso
desprestígio,discredit,morph,desprestígio
despretenciosamente,unpretentiously,morph,despretenciosamente
despretensiosamente,unpretentiously,morph,despretensiosamente
despretensiosismo,unpretentiousness,morph,despretensiosismo
despretensioso,unpretentious,morph,despretensioso
despretensão,unpretentiousness,morph,despretensão
desprevenido,off guard,morph,desprevener
desprezar,despise,morph,desprezar
desprezo,contempt,morph,desprezor
desprimor,desprimir,morph,desprimor
desprivilegiar,disenfranchise,morph,desprivilegiar
